Timestamp,User,SourceIP,Location,Application,Status,FailureReason,DeviceInfo
2024-10-10 08:12:34,kristian.rosland@nordavind.no,10.0.1.100,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 08:15:42,christian.hein@nordavind.no,10.0.1.101,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 08:18:15,ingrid.volden@nordavind.no,10.0.1.102,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-10 08:21:08,kjetil.berg@nordavind.no,10.0.1.142,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-10 08:24:56,kjetil.berg@nordavind.no,10.10.0.22,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-10 08:28:43,arne.natskar@nordavind.no,10.0.1.111,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-10 08:32:19,didrik.saether@nordavind.no,10.0.1.112,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-10 08:35:47,marius.arder@nordavind.no,10.0.1.120,Oslo NO,Microsoft 365,Success,,macOS 14 / Chrome 129
2024-10-10 08:39:22,marius.arder@nordavind.no,10.10.0.20,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-10 08:42:55,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 08:46:18,ola.hansen@nordavind.no,10.10.0.15,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 08:49:33,hauk.storjord@nordavind.no,10.0.1.121,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-10 08:52:47,hauk.storjord@nordavind.no,10.10.0.21,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-10 08:56:12,synne.berg@nordavind.no,10.0.1.130,Oslo NO,SharePoint Online,Success,,Windows 10 / Edge 128
2024-10-10 09:02:38,eirik.dahlen@nordavind.no,10.0.1.131,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 09:08:45,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 09:15:22,sandra.lekve@nordavind.no,10.0.1.160,Oslo NO,Microsoft 365,Success,,macOS 14 / Chrome 129
2024-10-10 09:23:17,frithjof.fredriksen@nordavind.no,10.0.1.170,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-10 09:31:44,kristian.rosland@nordavind.no,10.0.1.100,Oslo NO,Microsoft 365,Success,,Windows 11 / Edge 128
2024-10-10 09:42:08,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-10 10:15:33,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-10 11:23:45,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Microsoft 365,Success,,Windows 11 / Edge 128
2024-10-10 12:34:22,christian.hein@nordavind.no,10.0.1.101,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-10 13:12:56,ingrid.volden@nordavind.no,10.0.1.102,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-10 13:45:18,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,macOS 14 / Safari 17
2024-10-10 14:04:38,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Microsoft 365,Success,,Windows 11 / Edge 128
2024-10-10 14:22:15,ola.hansen@nordavind.no,185.23.187.142,Oslo NO,Azure Portal,Success,,Windows 10 / Chrome 118
2024-10-10 14:23:08,ola.hansen@nordavind.no,185.23.187.142,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 118
2024-10-10 14:28:52,kjetil.berg@nordavind.no,10.10.0.22,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 14:45:33,arne.natskar@nordavind.no,10.0.1.111,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 15:12:47,didrik.saether@nordavind.no,10.0.1.112,Oslo NO,Microsoft Teams,Success,,Windows 10 / Chrome 129
2024-10-10 15:34:21,marius.arder@nordavind.no,10.0.1.120,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-10 16:08:15,marius.arder@nordavind.no,10.10.0.20,Oslo NO,Microsoft 365,Success,,macOS 14 / Chrome 129
2024-10-10 16:23:44,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-10 16:45:33,ola.hansen@nordavind.no,10.10.0.15,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-10 17:12:28,hauk.storjord@nordavind.no,10.0.1.121,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-10 17:34:56,hauk.storjord@nordavind.no,10.10.0.21,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-10 17:52:18,synne.berg@nordavind.no,10.0.1.130,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-11 08:08:22,eirik.dahlen@nordavind.no,10.0.1.131,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-11 08:14:35,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 08:19:47,sandra.lekve@nordavind.no,10.0.1.160,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-11 08:25:13,frithjof.fredriksen@nordavind.no,10.0.1.170,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-11 08:31:42,kristian.rosland@nordavind.no,10.0.1.100,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-11 08:37:55,christian.hein@nordavind.no,10.0.1.101,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-11 08:43:28,ingrid.volden@nordavind.no,10.0.1.102,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-11 08:49:16,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-11 08:54:38,kjetil.berg@nordavind.no,10.0.1.142,Oslo NO,Microsoft Teams,Success,,Windows 11 / Edge 128
2024-10-11 09:01:22,kjetil.berg@nordavind.no,10.10.0.22,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-11 09:08:47,arne.natskar@nordavind.no,10.0.1.111,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 09:16:33,didrik.saether@nordavind.no,10.0.1.112,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-11 09:23:18,kjetil.berg@nordavind.no,10.0.1.087,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
2024-10-11 03:17:42,ola.hansen@nordavind.no,89.34.237.89,Bucharest RO,Azure Portal,Success,,Windows 10 / Chrome 118
2024-10-11 03:19:15,ola.hansen@nordavind.no,89.34.237.89,Bucharest RO,Microsoft Graph API,Success,,Windows 10 / Chrome 118
2024-10-11 10:12:45,marius.arder@nordavind.no,10.0.1.120,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-11 10:34:22,marius.arder@nordavind.no,10.10.0.20,Oslo NO,SharePoint Online,Success,,Windows 10 / Edge 128
2024-10-11 11:15:38,ola.hansen@nordavind.no,10.0.1.142,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-11 11:45:17,ola.hansen@nordavind.no,10.10.0.15,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 12:22:44,hauk.storjord@nordavind.no,10.0.1.121,Oslo NO,Microsoft 365,Success,,macOS 14 / Chrome 129
2024-10-11 13:08:33,hauk.storjord@nordavind.no,10.10.0.21,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-11 13:45:56,synne.berg@nordavind.no,10.0.1.130,Oslo NO,Microsoft 365,Success,,Windows 11 / Edge 128
2024-10-11 14:23:12,eirik.dahlen@nordavind.no,10.0.1.131,Oslo NO,SharePoint Online,Success,,Windows 11 / Chrome 129
2024-10-11 15:01:38,mari.hansen@nordavind.no,10.0.1.156,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 15:40:23,kjetil.berg@nordavind.no,89.34.237.89,Bucharest RO,Azure Portal,Success,,Windows 10 / Chrome 118
2024-10-11 15:43:08,kjetil.berg@nordavind.no,89.34.237.89,Bucharest RO,Azure Portal,Success,,Windows 10 / Chrome 118
2024-10-11 15:58:14,mari.hansen@nordavind.no,89.34.237.91,Bucharest RO,Microsoft 365,Success,,Windows 10 / Chrome 118
2024-10-11 16:12:45,sandra.lekve@nordavind.no,10.0.1.160,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-11 16:34:28,frithjof.fredriksen@nordavind.no,10.0.1.170,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-11 17:08:17,kristian.rosland@nordavind.no,10.0.1.100,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-11 17:45:33,christian.hein@nordavind.no,10.0.1.101,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-12 08:11:23,ingrid.volden@nordavind.no,10.0.1.102,Oslo NO,Microsoft 365,Success,,Windows 11 / Chrome 129
2024-10-12 08:16:45,kjetil.berg@nordavind.no,10.0.1.142,Oslo NO,Azure Portal,Success,,Windows 11 / Edge 128
2024-10-12 08:22:38,kjetil.berg@nordavind.no,10.10.0.22,Oslo NO,Microsoft 365,Success,,macOS 14 / Safari 17
2024-10-12 08:28:52,arne.natskar@nordavind.no,10.0.1.111,Oslo NO,Microsoft Teams,Success,,Windows 11 / Chrome 129
2024-10-12 08:34:17,didrik.saether@nordavind.no,10.0.1.112,Oslo NO,SharePoint Online,Success,,Windows 11 / Edge 128
2024-10-12 08:40:33,marius.arder@nordavind.no,10.0.1.120,Oslo NO,Microsoft 365,Success,,Windows 10 / Chrome 129
2024-10-12 08:46:48,marius.arder@nordavind.no,10.10.0.20,Oslo NO,Azure Portal,Success,,Windows 11 / Chrome 129
